,Name,Entity,Notes,IDN,DNSSEC
0,.alsace,フランス・アルザス地域圏,[110],不明,Yes
1,.amsterdam,オランダ・アムステルダム,[111],不明,Yes
2,.barcelona,スペイン・バルセロナ,,不明,Yes
3,.bayern,ドイツ・バイエルン州,[112],Yes,Yes
4,.berlin,ドイツ・ベルリン,[113],ラテン文字・キリル文字[10],Yes
5,.brussels,ベルギー・ブリュッセル,[114],ラテン文字[10],Yes
6,.budapest,ハンガリー・ブダペスト,[115],不明,Yes
7,.bzh,フランス・ブルターニュ地域圏,ブルトン語でBreizh[116],フランス語[10],Yes
8,.cat,カタルーニャ州; カタルーニャ語話者およびカタルーニャ文化圏,カタルーニャ語を使用しているか、カタルーニャ文化に関連するWebサイトのみ[117],Catalan[10],Yes
9,.cologne,ドイツ・ケルン,[118],Yes,Yes
10,.corsica,フランス・コルシカ島,TLD Related to Corsican Culture,不明,Yes
11,.cymru,ウェールズ,[119],Welsh[10],Yes
12,.eus,バスク地方,バスク語でEuskal Herria。バスク語を使用しているサイトに限られ、定期的にチェックされる[120]。,不明,Yes
13,.frl,フリースラント州,（西）フリジア語でFryslân[121],不明,Yes
14,.gal,スペイン・ガリシア州,ガリシア語を使用しているか、ガリシア文化に関連するWebサイトのみ[122],不明,Yes
15,.gent,ベルギー・ヘント,[123],不明,Yes
16,.hamburg,ドイツ・ハンブルク,,ラテン文字[10],Yes
17,.irish,アイルランドおよびアイルランド文化圏,,不明,Yes
18,.koeln,ドイツ・ケルン,[124],Yes,Yes
19,.london,イギリス・ロンドン,[125],Yes,Yes
20,.madrid,スペイン・マドリード,[126],不明,Yes
21,.moscow,ロシア・モスクワ,[127],Yes,Yes
22,.nrw,ドイツ・ノルトライン＝ヴェストファーレン州,[128],Yes,Yes
23,.paris,フランス・パリ,[129],French[10],Yes
24,.ruhr,ドイツ・ルール地方,[130],German[10],Yes
25,.saarland,ドイツ・ ザールラント州,[131],不明,Yes
26,.scot,スコットランド,[132],不明,Yes
27,.tirol,チロル（オーストリアとイタリアに跨る）,[133],Yes[10],Yes
28,.vlaanderen,ベルギー・フランドル,[134],ラテン文字[10],Yes
29,.wales,ウェールズ,[119],Welsh[10],Yes
30,.wien,オーストリア・ウィーン,[135],ラテン文字[10],Yes
31,.zuerich,スイス・チューリッヒ,[136],不明,Yes
