,Name,Target market,Restrictions,Operator/Registry,IDN,DNSSEC
195,.lotto,,—,Afilias,不明,Yes
196,.love,dating sites,—,,不明,Yes
197,.luxe,,—,Minds + Machines[n 3],不明,Yes
198,.luxury,businesses catering to the wealthy,—,Luxury Partners,Yes,Yes
199,.management,business management,—,ドーナツ[donuts 93],Yes,Yes
200,.market,marketing services and retailers,—,Rightside Group[n 1],不明,Yes
201,.marketing,marketing services,—,ドーナツ[donuts 94],Yes,Yes
202,.markets,financial and stock markets,—,IG Group,不明,Yes
203,.mba,経営学修士,—,ドーナツ,Yes,Yes
204,.media,general media interests,—,ドーナツ[donuts 95],Yes,Yes
205,.meet,"social gatherings, meeting new people",—,Afilias,不明,Yes
206,.meme,インターネットミーム,—,Google[n 2],不明,Yes
207,.memorial,memorial sites,—,ドーナツ,Yes,Yes
208,.men,男性,—,Famous Four Media,不明,Yes
209,.menu,レストラン,—,Wedding TLD2,Yes,Yes
210,.mobi,モバイル端末,標準に従ってモバイル端末に対応したサイトのために使用。,Afilias,Yes,No
211,.moe,「萌え」とは日本のおたく文化に深く根ざしているスラング。萌えを参照のこと[65]。,—,インターリンク,Yes,Yes
212,.money,金融,—,ドーナツ,Yes,Yes
213,.mortgage,mortgage lenders,—,Rightside Group[n 1],不明,Yes
214,.motorcycles,motorcycles,—,DERMotorcycles,不明,Yes
215,.mov,デジタル動画,—,Google[n 2],不明,Yes
216,.movie,movies and cinemas,—,ドーナツ,Yes,Yes
217,.museum,museums,Must be verified as a legitimate museum.,Museum Domain Management Association,ラテン文字[10],Yes
218,.name,"individuals, by name","Open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not by individuals (or the owners of fictional characters) in accordance with the domain's charter.",ベリサイン,Yes[10],Yes
219,.navy,defense contractors,—,Rightside Group[n 1],不明,Yes
220,.network,general,—,ドーナツ[donuts 96],Yes,Yes
221,.new,general,—,Google[n 2],不明,Yes
222,.news,news sites,—,,不明,Yes
223,.ngo,非政府組織Sold packaged with .ong.,"Restricted to validated NGOs, as determined by PIR. See the eligibility requirements.",Public Interest Registry,不明,Yes
224,.ninja,general expertise,—,Rightside Group[n 1],Yes,Yes
225,.one,generic,—,One.com,不明,Yes
226,.ong,非政府組織Sold packaged with .ngo.,"Restricted to validated NGOs, as determined by PIR. See the eligibility requirements.",Public Interest Registry,不明,Yes
227,.onl,"short for ""online""",—,I-REGISTRY,不明,Yes
228,.online,generic,—,,不明,Yes
229,.ooo,general,—,Infibeam,No,Yes
230,.organic,"organic gardeners, farmers, foods, etc.",Registrants must be verified as a member of the organic community.[66],Afilias,不明,Yes
231,.partners,businesses,—,ドーナツ[donuts 97],Yes,Yes
232,.parts,manufacturing and consumer auto,—,ドーナツ[donuts 98],Yes,Yes
233,.party,nightclubs and social gatherings,—,Famous Four Media[ffm 2],不明,Yes
234,.pharmacy,pharmacies,"""All registrants within the .pharmacy gTLD are vetted prior to registration to confirm that they meet all applicable regulatory standards, including pharmacy licensure and valid prescription requirements, in the jurisdictions where they are based and where they serve patients.""[67]",National Association of Boards of Pharmacy,不明,Yes
235,.photo,photography and photo-sharing,—,Uniregistry,Yes[43],Yes
236,.photography,photography and photo-sharing,—,ドーナツ[donuts 99],Yes,Yes
237,.photos,photography and photo-sharing,—,ドーナツ[donuts 100],Yes,Yes
238,.physio,physical therapists,"Must be eligible for membership within an association that is a member of the World Confederation for Physical Therapy, have proper training as a physical therapist outside WCPT's reach, or otherwise supports physical therapy.[68][69]",PhysBiz,不明,Yes
239,.pics,photography and photo-sharing,—,Uniregistry,Yes[43],Yes
240,.pictures,photography and photo-sharing,—,ドーナツ[donuts 101],Yes,Yes
241,.feedback,,—,Top Level Spectrum,不明,Yes
242,.pink,those who like the color pink,—,Afilias,Yes,Yes
243,.pizza,pizza parlors,—,ドーナツ[donuts 102],Yes,Yes
244,.place,general,—,ドーナツ[donuts 103],Yes,Yes
245,.plumbing,plumbing businesses,—,ドーナツ[donuts 104],Yes,Yes
246,.plus,generic,—,ドーナツ,Yes,Yes
247,.poker,ポーカー players and sites,—,Afilias[n 4],不明,Yes
248,.porn,adult entertainment (pornography),"For sites providing sexually explicit content, such as pornography.",,Yes,Yes
249,.post,postal services,"The .post TLD is restricted to Postal Administrations as defined in the Universal Postal Union constitution, and their large customers who wish to provide ""Trusted Postal Services"".[70]",Universal Postal Union,No[71],Yes
250,.press,publishing and journalism,—,Radix Registry,不明,Yes
251,.pro,professions,"Currently, .pro is reserved for licensed or certified professionals worldwide. A professional seeking to register a .pro domain must provide their registrar with the appropriate credentials.",Registry Services Corporation,No,No
252,.productions,studio/art businesses,—,ドーナツ[donuts 105],Yes,Yes
253,.prof,"Professors, teachers and learning",—,Google[n 2],不明,Yes
254,.properties,real estate,—,ドーナツ[donuts 106],Yes,Yes
255,.property,real estate,—,Uniregistry,Yes[43],Yes
256,.qpon,coupons,—,dotCOOL,不明,Yes
257,.racing,racing,—,Famous Four Media,不明,Yes
258,.recipes,recipes and cooking,—,ドーナツ[donuts 107],Yes,Yes
259,.red,those who like the color red[72]Also Spanish variant of .netAlso likely to be attractive for ドメインハック for words that end with '-red'.,—,Afilias,Yes,Yes
260,.rehab,リハビリテーションセンター and support sites,—,Rightside Group[n 1],不明,Yes
261,.ren,人人網ユーザー,Restricted TLD[73],Beijing Qianxiang Wangjing Technology Development Co.,不明,Yes
262,.rent,Real estate professionals and small businesses,—,xyz.xyz,不明,Yes
263,.rentals,short-term ownership,—,ドーナツ[donuts 108],Yes,Yes
264,.repair,general repair/maintenance businesses,—,ドーナツ[donuts 109],Yes,Yes
265,.report,business services,—,ドーナツ[donuts 110],Yes,Yes
266,.republican,共和党 politics,—,Rightside Group[n 1],不明,Yes
267,.rest,Restaurants and related industry,—,Punto 2012,Yes,Yes
268,.review,public reviews,—,,不明,Yes
269,.reviews,public reviews,—,Rightside Group[n 1],Yes,Yes
270,.rich,businesses catering to the wealthy,—,I-REGISTRY,不明,Yes
271,.rip,memorial sites[74],—,Rightside Group[n 1],不明,Yes
272,.rocks,general,—,Rightside Group[n 1],Yes,Yes
273,.rodeo,ロデオ interest,—,Minds + Machines[n 3],Yes,Yes
274,.rsvp,Invitations and replies,—,Google[n 2],不明,Yes
275,.run,running and jogging,—,ドーナツ,Yes,Yes
276,.sale,retail,—,,不明,Yes
277,.school,schools,—,ドーナツ[donuts 111],Yes,Yes
278,.science,science-related sites,—,dot Science,不明,Yes
279,.services,business services,—,ドーナツ[donuts 112],Yes,Yes
