,Name,Translation,Restrictions,Operator,IDN,DNSSEC
0,.desi,ヒンディー語で、南アジアの人々や文化を指す言葉デシを参照。,—,Desi Networks,不明,Yes
1,.shiksha,ヒンディー語で「教育」,—,Afilias,不明,Yes
