,Name,Entity,Notes,IDN,DNSSEC
0,.kiwi,ニュージーランド人（別名 キーウィ）,[141],ラテン文字[10],Yes
1,.melbourne,オーストラリア・メルボルン,[142],不明,Yes
2,.sydney,オーストラリア・シドニー,[143],不明,Yes
