,Name,Entity,Notes,IDN,DNSSEC
0,.asia,アジア太平洋地域,アジア・オーストラリア・太平洋地域の企業・団体・個人のためのドメイン,中国語・日本語・韓国語[10],Yes
1,.krd,クルディスタン地域,クルディスタン地域の企業・団体・個人のためのドメイン[100][101],クルド語,Yes
2,.kyoto,日本・京都府,[102],,
3,.nagoya,日本・名古屋市,[103],日本語[10],Yes
4,.okinawa,日本・沖縄県,,日本語,Yes
5,.ryukyu,日本・琉球諸島,[104],不明,Yes
6,.taipei,台湾・台北市,[105],不明,Yes
7,.tatar,タタール人および地域,タタールスタン共和国はロシア連邦の一部であるが、このドメイン名はより広い「タタール」全体のことを指す[106]。,不明,Yes
8,.tokyo,日本・東京都,[107],Yes,Yes
9,.yokohama,日本・横浜市,[108],Japanese,Yes
10,.osaka,日本・大阪府,[109],不明,不明
