,DNS name,IDN,Entity,Language,Script,Transliteration,Notes,Other TLD,IDN.1,DNSSEC
0,xn--1qqw23a,.佛山,中国・仏山市,中国語,漢字,fóshān,[147],,Yes,Yes
1,xn--80adxhks,.москва,ロシア・モスクワ,ロシア語,キリル文字,moskva,[148],.moscow,ロシア語[10],Yes
